lane,board,fmt,M,K,nc,ratio_cold_med,ratio_cold_best,ratio_hot,ours_gmacs,opp_gmacs,ours_wGBs,opp_wGBs,o_iqr,p_iqr,ours_ns,opp_ns,byte_mismatch
blockdot,k1,q4_K,16,2048,512,0.6079,0.6081,0.6094,0.7935358569816776,1.305281666307486,,,0.3,0.11,21142354.0,12853330.0,0
blockdot,k1,q4_K,32,2048,512,0.6087,0.6084,0.6095,0.7933785873768031,1.3034560836438684,,,0.23,0.58,42293090.0,25742664.0,0
blockdot,k1,q5_0,1,2048,512,0.3829,0.3879,0.386,0.3499922229587603,0.9139972211617078,,,0.18,3.95,2995998.0,1147242.0,0
blockdot,k1,q5_0,2,2048,512,0.3901,0.3861,0.3851,0.3514144201177463,0.9008284271739233,,,0.86,2.02,5967746.0,2328026.0,0
blockdot,k1,q5_0,4,2048,512,0.3862,0.3854,0.3854,0.3534824813413292,0.9151680621204396,,,0.13,0.31,11865663.0,4583097.0,0
blockdot,k1,q5_0,8,2048,512,0.3867,0.3853,0.3854,0.3534148254694193,0.9140171388673634,,,0.1,0.39,23735869.0,9177736.0,0
blockdot,k1,q5_0,16,2048,512,0.3856,0.3856,0.3851,0.3533121550936366,0.9162174017136436,,,0.17,0.32,47485533.0,18311392.0,0
blockdot,k1,q5_0,32,2048,512,0.3861,0.386,0.3852,0.35442508663545313,0.9180020806757879,,,0.09,0.14,94672847.0,36551586.0,0
blockdot,k1,q5_1,1,2048,512,0.3996,0.4047,0.4027,0.347618645065151,0.870014271016561,,,0.64,3.45,3016455.0,1205240.0,0
blockdot,k1,q5_1,2,2048,512,0.4067,0.3998,0.4014,0.3523960691782155,0.8663751417517521,,,0.74,1.86,5951122.0,2420605.0,0
blockdot,k1,q5_1,4,2048,512,0.4026,0.4019,0.4013,0.35095251096521596,0.8718070872737447,,,0.21,0.27,11951201.0,4811046.0,0
blockdot,k1,q5_1,8,2048,512,0.4024,0.4017,0.4013,0.3514143465107374,0.8733424561923696,,,0.03,0.4,23870989.0,9605176.0,0
blockdot,k1,q5_1,16,2048,512,0.4015,0.4005,0.401,0.3514676902344398,0.8753223982658853,,,0.09,0.17,47734732.0,19166899.0,0
blockdot,k1,q5_1,32,2048,512,0.4017,0.4012,0.4009,0.3518230714891104,0.8759048984286828,,,0.1,0.16,95373029.0,38308305.0,0
blockdot,k1,q5_K,1,2048,512,1.0831,1.0827,1.0794,0.6757303126049207,0.6238694116121141,,,3.22,2.35,1551767.0,1680762.0,0
blockdot,k1,q5_K,2,2048,512,1.0788,1.08,1.0818,0.6687366130833922,0.6198970460218766,,,0.29,0.13,3135991.0,3383065.0,0
blockdot,k1,q5_K,4,2048,512,1.0801,1.081,1.0815,0.6720938773705055,0.6222497966411331,,,1.0,0.26,6240652.0,6740547.0,0
blockdot,k1,q5_K,8,2048,512,1.0812,1.0816,1.0813,0.674123706717331,0.6234694870298686,,,0.23,0.46,12443722.0,13454721.0,0
blockdot,k1,q5_K,16,2048,512,1.0819,1.0818,1.0822,0.6751103262221313,0.6239863328036256,,,0.21,0.27,24851073.0,26887153.0,0
blockdot,k1,q5_K,32,2048,512,1.0803,1.0818,1.082,0.6747148680698467,0.6245475559833394,,,0.31,0.2,49731277.0,53725984.0,0
blockdot,k1,q6_K,1,2048,512,0.5595,0.5543,0.5499,0.6836231159349898,1.2219314089939752,,,2.59,4.89,1533851.0,858130.0,0
blockdot,k1,q6_K,2,2048,512,0.5479,0.5503,0.5516,0.6743180299636595,1.2306854485661236,,,0.82,1.99,3110034.0,1704052.0,0
blockdot,k1,q6_K,4,2048,512,0.5529,0.553,0.5529,0.6736500190484267,1.218337290560807,,,0.39,0.62,6226236.0,3442646.0,0
blockdot,k1,q6_K,8,2048,512,0.5562,0.5519,0.5558,0.6766247839825452,1.2164823440849644,,,0.39,0.5,12397725.0,6895791.0,0
blockdot,k1,q6_K,16,2048,512,0.553,0.5519,0.5538,0.6752167260020935,1.2211045668227898,,,0.66,0.55,24847157.0,13739377.0,0
blockdot,k1,q6_K,32,2048,512,0.7888,0.552,0.5539,0.6405371570049675,0.812069942634776,,,0.71,20.27,52384833.0,41319633.0,0
blockdot,k1,q8_0,1,2048,512,0.981,0.9836,0.9777,1.0906556773432576,1.1118078477235833,,,0.72,0.37,961418.0,943127.0,0
blockdot,k1,q8_0,2,2048,512,1.0002,0.9859,0.9863,1.0960234010428453,1.0958326888750476,,,2.31,2.69,1913419.0,1913752.0,0
blockdot,k1,q8_0,4,2048,512,0.9837,0.9911,0.9803,1.083448972063818,1.1013834831761031,,,0.44,0.25,3871252.0,3808214.0,0
blockdot,k1,q8_0,8,2048,512,0.9834,0.9842,0.9817,1.0861491578163407,1.1044771796109436,,,0.34,0.24,7723256.0,7595094.0,0
blockdot,k1,q8_0,16,2048,512,0.9831,0.9833,0.9817,1.0900094387871782,1.108798593825941,,,0.28,0.24,15391808.0,15130986.0,0
blockdot,k1,q8_0,32,2048,512,0.9821,0.9823,0.9815,1.0887360713727166,1.1086045823494872,,,0.34,0.35,30819620.0,30267268.0,0
blockdot,rvv,q2_K,1,2048,512,0.2521,0.2498,0.5028,1.1289529330192376,4.478778067751291,,,0.15,0.98,928804.0,234121.0,0
blockdot,rvv,q2_K,2,2048,512,0.3306,0.3303,0.5041,1.523798451752786,4.609105014923012,,,0.08,0.73,1376266.0,455002.0,0
blockdot,rvv,q2_K,4,2048,512,0.4038,0.4044,0.5153,1.8421690869186926,4.561981457552936,,,2.13,0.21,2276829.0,919404.0,0
blockdot,rvv,q2_K,8,2048,512,0.4459,0.4462,0.5124,2.0666289241054248,4.634825637546218,,,1.26,0.11,4059078.0,1809908.0,0
blockdot,rvv,q2_K,16,2048,512,0.4643,0.4665,0.5047,2.194611400373486,4.726648720451783,,,0.61,1.31,7644732.0,3549495.0,0
blockdot,rvv,q2_K,32,2048,512,0.4847,0.4814,0.5051,2.27605226889386,4.695666143750971,,,0.56,0.52,14742382.0,7145830.0,0
blockdot,rvv,q3_K,1,2048,512,0.2765,0.2746,0.5844,0.9671738157937214,3.4975733903489314,,,0.4,1.07,1084165.0,299801.0,0
blockdot,rvv,q3_K,2,2048,512,0.3666,0.3657,0.5844,1.3173503891775291,3.5929701447020808,,,0.23,0.36,1591947.0,583682.0,0
blockdot,rvv,q3_K,4,2048,512,0.446,0.4452,0.5841,1.6108327370919011,3.6114673428707964,,,1.24,0.32,2603811.0,1161385.0,0
blockdot,rvv,q3_K,8,2048,512,0.5023,0.5017,0.5872,1.81624280635509,3.6155455466241406,,,0.84,1.53,4618660.0,2320150.0,0
blockdot,rvv,q3_K,16,2048,512,0.5571,0.5548,0.6098,1.9351872304432625,3.4738738111965506,,,0.72,1.08,8669557.0,4829541.0,0
blockdot,rvv,q3_K,32,2048,512,0.5741,0.5729,0.6091,2.003645496295358,3.4903014681254305,,,0.73,0.19,16746691.0,9613620.0,0
blockdot,rvv,q4_0,1,2048,512,0.9087,0.9231,0.9629,1.1181900390724975,1.2306016777688584,,,1.62,0.19,937744.0,852084.0,0
blockdot,rvv,q4_0,2,2048,512,0.9416,0.945,0.9627,1.1609128974330019,1.232946505052833,,,0.63,2.21,1806468.0,1700927.0,0
blockdot,rvv,q4_0,4,2048,512,0.9536,0.954,0.963,1.1760758533572793,1.2333525644757868,,,1.04,1.31,3566355.0,3400734.0,0
blockdot,rvv,q4_0,8,2048,512,0.9565,0.9577,0.9632,1.1748074445574632,1.2282058674058403,,,0.81,0.22,7140411.0,6829969.0,0
blockdot,rvv,q4_0,16,2048,512,0.9614,0.9603,0.9628,1.1815257028004975,1.229017508494118,,,0.15,0.41,14199620.0,13650917.0,0
blockdot,rvv,q4_0,32,2048,512,0.9618,0.9613,0.9634,1.1834317456398682,1.2304866920364033,,,0.2,0.16,28353500.0,27269236.0,0
blockdot,rvv,q4_1,1,2048,512,1.0214,1.0211,1.0203,1.286907387429845,1.2599684700273004,,,0.11,0.08,814803.0,832224.0,0
blockdot,rvv,q4_1,2,2048,512,1.0195,1.0198,1.0185,1.2890423361630383,1.264420859442405,,,3.03,0.04,1626907.0,1658587.0,0
blockdot,rvv,q4_1,4,2048,512,1.0199,1.0201,1.0191,1.2903748214864754,1.2652523654643115,,,1.05,1.42,3250454.0,3314994.0,0
blockdot,rvv,q4_1,8,2048,512,1.0208,1.0204,1.0189,1.283838036317066,1.257649547201018,,,0.68,0.72,6534008.0,6670068.0,0
blockdot,rvv,q4_1,16,2048,512,1.0208,1.0203,1.0189,1.2867487750657574,1.2605560726095595,,,0.37,0.32,13038455.0,13309377.0,0
blockdot,rvv,q4_1,32,2048,512,1.0261,1.0271,1.0256,1.2867063403044048,1.2539768612594155,,,0.44,0.21,26077770.0,26758414.0,0
blockdot,rvv,q4_K,1,2048,512,0.1653,0.1628,0.4242,0.779583746578184,4.714798944249352,,,0.08,5.62,1345046.0,222401.0,0
blockdot,rvv,q4_K,2,2048,512,0.2345,0.2333,0.425,1.12821197012311,4.81107407415904,,,1.72,1.54,1858828.0,435901.0,0
blockdot,rvv,q4_K,4,2048,512,0.3013,0.2991,0.4235,1.455207053599711,4.830233179477258,,,1.18,0.74,2882273.0,868344.0,0
blockdot,rvv,q4_K,8,2048,512,0.3474,0.3471,0.4237,1.6908353810483348,4.867396839322559,,,1.01,1.13,4961221.0,1723428.0,0
blockdot,rvv,q4_K,16,2048,512,0.3806,0.3761,0.423,1.851851573860409,4.8657042883596695,,,0.32,1.32,9059698.0,3448055.0,0
blockdot,rvv,q4_K,32,2048,512,0.3992,0.3976,0.4272,1.9420307184628232,4.865125787850537,,,0.21,0.36,17278013.0,6896930.0,0
blockdot,rvv,q5_0,1,2048,512,0.2643,0.2638,0.2553,0.8067917943257064,3.05225868236979,,,0.11,1.44,1299686.0,343541.0,0
blockdot,rvv,q5_0,2,2048,512,0.2658,0.2615,0.2586,0.8078114365020332,3.039425609036744,,,1.38,0.41,2596091.0,689983.0,0
blockdot,rvv,q5_0,4,2048,512,0.2622,0.2615,0.2574,0.8022336974172396,3.059066184525485,,,1.06,0.4,5228282.0,1371106.0,0
blockdot,rvv,q5_0,8,2048,512,0.2624,0.2622,0.2565,0.8059904927302294,3.071454097025724,,,0.24,0.65,10407825.0,2731152.0,0
blockdot,rvv,q5_0,16,2048,512,0.2619,0.261,0.2558,0.8058442335687609,3.07717827650522,,,0.21,1.06,20819428.0,5452143.0,0
blockdot,rvv,q5_0,32,2048,512,0.2629,0.2614,0.2564,0.8069259781801406,3.0697518339687626,,,0.13,0.43,41583036.0,10930666.0,0
blockdot,rvv,q5_1,1,2048,512,0.2722,0.2717,0.2649,0.774779700691451,2.8461275385291867,,,0.12,0.22,1353386.0,368422.0,0
blockdot,rvv,q5_1,2,2048,512,0.271,0.268,0.2629,0.776139133858938,2.864085307228389,,,1.57,0.26,2702031.0,732224.0,0
blockdot,rvv,q5_1,4,2048,512,0.2687,0.2688,0.2627,0.7723089313797825,2.8744115730197706,,,0.86,0.33,5430863.0,1459187.0,0
blockdot,rvv,q5_1,8,2048,512,0.2693,0.269,0.265,0.7745037229434991,2.8763255923676603,,,0.33,1.61,10830946.0,2916432.0,0
blockdot,rvv,q5_1,16,2048,512,0.2692,0.2685,0.2667,0.77328071816606,2.8724941975576668,,,0.22,0.58,21696152.0,5840644.0,0
blockdot,rvv,q5_1,32,2048,512,0.2689,0.2685,0.2634,0.7750884055783933,2.8820124251151515,,,0.11,0.56,43291103.0,11642709.0,0
blockdot,rvv,q5_K,1,2048,512,0.8963,0.9005,1.3727,0.577051258909664,0.6437851454505157,,,2.32,0.09,1817128.0,1628767.0,0
blockdot,rvv,q5_K,2,2048,512,0.9994,1.0067,1.3648,0.8801910509903006,0.8807085473351783,,,2.01,1.97,2382610.0,2381210.0,0
blockdot,rvv,q5_K,4,2048,512,1.1148,1.113,1.3577,1.1956209352475944,1.072487922600316,,,0.9,1.17,3508055.0,3910817.0,0
blockdot,rvv,q5_K,8,2048,512,1.1918,1.194,1.3537,1.4488084207181169,1.215668054506906,,,0.99,0.22,5790005.0,6900410.0,0
blockdot,rvv,q5_K,16,2048,512,1.2531,1.2538,1.3542,1.6286562142913932,1.2996551623967045,,,0.32,0.29,10301263.0,12908975.0,0
blockdot,rvv,q5_K,32,2048,512,1.294,1.309,1.3527,1.7401602011701771,1.3447610500912033,,,1.16,0.37,19282381.0,24951966.0,0
blockdot,rvv,q6_K,1,2048,512,0.2819,0.2812,0.4924,0.6462610483523541,2.2928614849056026,,,2.13,0.42,1622527.0,457322.0,0
blockdot,rvv,q6_K,2,2048,512,0.3342,0.3299,0.4949,0.9610132754109328,2.8759508669053746,,,2.05,0.43,2182230.0,729203.0,0
blockdot,rvv,q6_K,4,2048,512,0.3806,0.385,0.4938,1.2575816724204203,3.3038346595500996,,,2.38,3.95,3335214.0,1269526.0,0
blockdot,rvv,q6_K,8,2048,512,0.4226,0.4208,0.4952,1.5089801918431753,3.57039527727294,,,1.33,0.33,5559124.0,2349490.0,0
blockdot,rvv,q6_K,16,2048,512,0.4511,0.45,0.4998,1.6683352124278386,3.698436985745428,,,0.35,1.76,10056262.0,4536299.0,0
blockdot,rvv,q6_K,32,2048,512,0.4711,0.4685,0.4992,1.776020799193777,3.7698313563151444,,,0.3,0.21,18893040.0,8900778.0,0
blockdot,rvv,q8_0,1,2048,512,1.0469,1.061,0.9686,0.2878002402141287,0.2749024999239714,,,1.6,1.36,3643416.0,3814356.0,0
blockdot,rvv,q8_0,2,2048,512,1.031,1.0429,0.9678,0.464284045969866,0.45033219523717494,,,1.14,0.71,4516959.0,4656900.0,0
blockdot,rvv,q8_0,4,2048,512,1.0166,1.0148,0.9696,0.6664684673146652,0.6556132306103233,,,1.38,1.33,6293327.0,6397528.0,0
blockdot,rvv,q8_0,8,2048,512,0.9883,0.9883,0.9623,0.8438545625301409,0.8538299763798971,,,0.83,0.76,9940822.0,9824682.0,0
blockdot,rvv,q8_0,16,2048,512,0.9854,0.9862,0.969,0.9791806703107804,0.9936864968645707,,,0.63,0.44,17133933.0,16883812.0,0
blockdot,rvv,q8_0,32,2048,512,0.9805,0.9822,0.9703,1.0829854601213669,1.104526151905645,,,0.34,0.41,30983271.0,30379029.0,0
repackGEMM,rvv,q2_K,4,2048,512,0.3669,0.3779,0,1.7789,4.3781,0.132,0.359,8.14,0.24,2611351.0,958023.0,0
repackGEMM,rvv,q2_K,8,2048,512,0.3539,0.3752,0,1.802,4.5052,0.065,0.185,1.56,0.4,5261882.0,1861968.0,0
repackGEMM,rvv,q2_K,16,2048,512,0.3691,0.3818,0,1.8035,4.5155,0.034,0.093,0.92,0.94,10066401.0,3715455.0,0
repackGEMM,rvv,q2_K,64,2048,512,0.3888,0.3927,0,1.7981,4.4624,0.009,0.023,1.18,0.39,38678580.0,15038902.0,0
repackGEMM,rvv,q3_K,4,2048,512,0.0518,0.052,0,0.1743,3.1845,0.018,0.342,0.23,0.53,25420105.0,1317105.0,0
repackGEMM,rvv,q3_K,8,2048,512,0.0518,0.0516,0,0.1746,3.2645,0.009,0.175,0.13,0.44,49610145.0,2569631.0,0
repackGEMM,rvv,q3_K,16,2048,512,0.0505,0.0503,0,0.1744,3.3937,0.005,0.091,0.28,0.59,97905805.0,4943581.0,0
repackGEMM,rvv,q3_K,64,2048,512,0.0495,0.0496,0,0.1742,3.4944,0.001,0.023,0.4,0.34,387615384.0,19204640.0,0
repackGEMM,rvv,q4_K,4,2048,512,0.2351,0.2448,0,1.7122,4.5472,0.15,0.639,1.53,0.86,3923136.0,922384.0,0
repackGEMM,rvv,q4_K,8,2048,512,0.2924,0.2961,0,1.7286,4.5298,0.093,0.318,1.29,0.7,6333626.0,1851887.0,0
repackGEMM,rvv,q4_K,16,2048,512,0.39,0.3917,0,1.7298,3.8023,0.052,0.134,0.62,1.23,11314527.0,4412379.0,0
repackGEMM,rvv,q4_K,64,2048,512,0.3904,0.3905,0,1.7339,4.199,0.014,0.037,0.16,0.41,40933470.0,15982086.0,0
repackGEMM,rvv,q5_K,4,2048,512,0.6802,0.6922,0,1.0445,1.1174,0.131,0.192,2.06,1.54,5518803.0,3753636.0,0
repackGEMM,rvv,q5_K,8,2048,512,0.7588,0.7628,0,1.0405,1.2583,0.082,0.108,0.58,0.81,8785896.0,6666768.0,0
repackGEMM,rvv,q5_K,16,2048,512,0.7816,0.7819,0,1.0419,1.2678,0.043,0.054,0.17,0.3,16930110.0,13232915.0,0
repackGEMM,rvv,q5_K,64,2048,512,0.7672,0.7681,0,1.0359,1.3231,0.011,0.014,0.82,0.1,66108034.0,50719030.0,0
repackGEMM,rvv,q6_K,4,2048,512,0.04,0.0395,0,0.1423,3.3034,0.027,0.677,0.71,1.27,31747751.0,1269685.0,0
repackGEMM,rvv,q6_K,8,2048,512,0.0393,0.0391,0,0.1416,3.4692,0.014,0.356,0.59,2.1,61487594.0,2418050.0,0
repackGEMM,rvv,q6_K,16,2048,512,0.0393,0.0391,0,0.1416,3.5445,0.007,0.182,1.05,1.3,120576399.0,4733280.0,0
repackGEMM,rvv,q6_K,64,2048,512,0.0383,0.0384,0,0.1408,3.6476,0.002,0.047,0.37,0.36,479761285.0,18397856.0,0
repackGEMM-vs-handbrick,k1,q4_K,4,2048,512,0.6315,0.6315,0,3.6736,5.8174,,,0.54,0.77,1141756.8,720990.6,0
repackGEMM-vs-handbrick,k1,q4_K,8,2048,512,0.6238,0.6238,0,3.6729,5.888,,,0.14,0.29,2283888.5,1424687.7,0
repackGEMM-vs-handbrick,k1,q4_K,16,2048,512,0.622,0.622,0,3.7039,5.9545,,,0.14,0.25,4529562.6,2817585.0,0
repackGEMM-vs-handbrick,k1,q4_K,32,2048,512,0.623,0.623,0,3.7063,5.9487,,,0.16,0.25,9053440.8,5640625.4,0
