kernel,target,phase,entry,symbol,source_bindings,physical_bindings,input_policy,repetitions,numeric,max_absolute_error,max_relative_error,throughput,unit,previous_weft,source,ratio,change_percent,log,local_artifacts,remote_artifacts
mul_mat_iq4_nl,SG2044,decode,examples/kernels/mul_mat/iq4_nl_decode.py,production_mul_mat_iq4_nl_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,6.534147,GOP/s,6.529264,6.514902,1.002954,0.075,/tmp/weft-closure-regression.cHyRjn/sg2044-009-mul_mat_iq4_nl-decode.log,/tmp/weft-mul-mat.o7xlOR,rvv:/tmp/weft-mul-mat.swyh9M
mul_mat_q2_k,SG2044,prefill,examples/kernels/mul_mat/q2_k.py,production_mul_mat_q2_k,"{""MC"":32,""MR"":1,""NC"":32,""NR"":2}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":4}",valid-quantized-record-replicated,10,within-tolerance,0.000610351562,1.04400072e-05,9.542808,GOP/s,9.701467,9.658093,0.988063,-1.635,/tmp/weft-closure-regression.cHyRjn/sg2044-010-mul_mat_q2_k-prefill.log,/tmp/weft-mul-mat.NGs6R2,rvv:/tmp/weft-mul-mat.BVZxer
q3_k_q8_k,SG2044,decode,examples/kernels/vec_dot/q3_k_q8_k.py,quantized_vec_dot_q3_k_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":1,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.0029296875,3.6079188e-07,7.327597,GOP/s,7.560010,7.489920,0.978328,-3.074,/tmp/weft-closure-regression.cHyRjn/sg2044-011-q3_k_q8_k-decode.log,/tmp/weft-quantized-vec-dot.tfOBnp,rvv:/tmp/weft-quantized-vec-dot.rcdOkH
quantize_row_q8_1,SG2044,prefill,examples/kernels/quantize/q8_1.py,q8_1_quantize,{},"{""lmul_eighths"":64,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",fixed-float-mod31,10,bit-exact,,,537.818673,MEl/s,537.179542,531.554348,1.011785,0.119,/tmp/weft-closure-regression.cHyRjn/sg2044-012-quantize_row_q8_1-prefill.log,/tmp/weft-kernel.iOgqJt,rvv:/tmp/weft-kernel.8ZQ70i
iq2_xxs_q8_k,K1/X60,decode,examples/kernels/vec_dot/iq2_xxs_q8_k.py,quantized_vec_dot_iq2_xxs_q8_k,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":4}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.714432,GOP/s,1.696937,1.677788,1.021841,1.031,/tmp/weft-closure-regression.cHyRjn/k1-004-iq2_xxs_q8_k-decode.log,/tmp/weft-quantized-vec-dot.ADNoIH,k1:/tmp/weft-quantized-vec-dot.TYXFus
mul_mat_f16,K1/X60,decode,examples/kernels/mul_mat/f16.py,production_mul_mat_f16,"{""KB"":4096,""KC"":4096,""MC"":16,""MR"":2,""NC"":32,""NR"":2}","{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",dense-fixed-values,10,within-tolerance,0.000267028809,9.22453061e-06,3.385826,GOP/s,3.373287,3.323888,1.018634,0.372,/tmp/weft-closure-regression.cHyRjn/k1-005-mul_mat_f16-decode.log,/tmp/weft-mul-mat.mXd99O,k1:/tmp/weft-mul-mat.PYFCwU
q1_0_q8_0,SG2044,decode,examples/kernels/vec_dot/q1_0_q8_0.py,quantized_vec_dot_q1_0_q8_0,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,11.548994,GOP/s,11.648394,11.448178,1.008806,-0.853,/tmp/weft-closure-regression.cHyRjn/sg2044-013-q1_0_q8_0-decode.log,/tmp/weft-quantized-vec-dot.hbtip5,rvv:/tmp/weft-quantized-vec-dot.51hsnv
mxfp4_q8_0,SG2044,decode,examples/kernels/vec_dot/mxfp4_q8_0.py,quantized_vec_dot_mxfp4_q8_0,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,6.431963,GOP/s,6.420047,6.301585,1.020690,0.186,/tmp/weft-closure-regression.cHyRjn/sg2044-014-mxfp4_q8_0-decode.log,/tmp/weft-quantized-vec-dot.zOcM48,rvv:/tmp/weft-quantized-vec-dot.ftEeJn
dequantize_row_q5_k,SG2044,tensor,examples/kernels/dequantize/q5_k.py,row_dequantize_q5_k,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,346.382976,MEl/s,388.023865,380.580081,0.910145,-10.732,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-006-dequantize_row_q5_k-tensor.log,/tmp/weft-row-dequantize.NBEx4g,rvv:/tmp/weft-row-dequantize.UzU5aI
mul_mat_iq2_xxs,K1/X60,decode,examples/kernels/mul_mat/iq2_xxs_decode.py,production_mul_mat_iq2_xxs_decode,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":4}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.680903,GOP/s,1.696817,1.661424,1.011724,-0.938,/tmp/weft-closure-regression.cHyRjn/k1-006-mul_mat_iq2_xxs-decode.log,/tmp/weft-mul-mat.BheWdk,k1:/tmp/weft-mul-mat.yradnt
dequantize_row_iq3_s,K1/X60,tensor,examples/kernels/dequantize/iq3_s.py,row_dequantize_iq3_s,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,158.002969,MEl/s,156.970754,152.124657,1.038641,0.658,/tmp/weft-closure-regression.cHyRjn/optimized-k1-002-dequantize_row_iq3_s-tensor.log,/tmp/weft-row-dequantize.ihpjQk,k1:/tmp/weft-row-dequantize.swAGOI
mul_mat_q5_0,SG2044,decode,examples/kernels/mul_mat/q5_0_decode.py,production_mul_mat_q5_0_decode,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,5.527233,GOP/s,5.503274,5.331145,1.036782,0.435,/tmp/weft-closure-regression.cHyRjn/sg2044-016-mul_mat_q5_0-decode.log,/tmp/weft-mul-mat.9Cnfcw,rvv:/tmp/weft-mul-mat.zG10sq
mul_mat_iq1_s,K1/X60,prefill,examples/kernels/mul_mat/iq1_s.py,production_mul_mat_iq1_s,"{""MC"":16,""MR"":4,""NC"":32,""NR"":4}","{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.756692,GOP/s,2.836568,2.740584,1.005878,-2.816,/tmp/weft-closure-regression.cHyRjn/k1-008-mul_mat_iq1_s-prefill.log,/tmp/weft-mul-mat.ooiSzs,k1:/tmp/weft-mul-mat.A0pLiB
q5_0_q8_0,SG2044,decode,examples/kernels/vec_dot/q5_0_q8_0.py,quantized_vec_dot_q5_0_q8_0,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,5.607074,GOP/s,5.613064,5.419456,1.034619,-0.107,/tmp/weft-closure-regression.cHyRjn/sg2044-017-q5_0_q8_0-decode.log,/tmp/weft-quantized-vec-dot.HIujTO,rvv:/tmp/weft-quantized-vec-dot.CWmLMf
mul_mat_f32,K1/X60,decode,examples/kernels/dense/gemm_f32.py,gemm_f32,"{""MC"":64,""MR"":2,""NC"":64,""NR"":1}","{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",dense-fixed-values,10,within-tolerance,0,0,2.071017,GOP/s,2.088328,2.011619,1.029527,-0.829,/tmp/weft-closure-regression.cHyRjn/k1-009-mul_mat_f32-decode.log,/tmp/weft-mul-mat.BUlOC2,k1:/tmp/weft-mul-mat.tre1zy
mul_mat_q3_k,SG2044,prefill,examples/kernels/mul_mat/q3_k.py,production_mul_mat_q3_k,"{""MC"":2,""MR"":1,""NC"":32,""NR"":1}","{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.000366210938,1.52754824e-05,7.557577,GOP/s,7.467862,7.174796,1.053351,1.201,/tmp/weft-closure-regression.cHyRjn/sg2044-018-mul_mat_q3_k-prefill.log,/tmp/weft-mul-mat.fZJMwb,rvv:/tmp/weft-mul-mat.co2qZw
dequantize_row_q4_k,SG2044,tensor,examples/kernels/dequantize/q4_k.py,row_dequantize_q4_k,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,443.732709,MEl/s,710.758518,682.681445,0.649985,-37.569,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-007-dequantize_row_q4_k-tensor.log,/tmp/weft-row-dequantize.kp37FP,rvv:/tmp/weft-row-dequantize.uINEOz
mul_mat_q4_0,K1/X60,prefill,examples/kernels/mul_mat/q4_0.py,production_mul_mat_q4_0,"{""MC"":16,""MR"":4,""NC"":32,""NR"":2}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":2,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.529683,GOP/s,2.364598,2.265953,1.116388,6.982,/tmp/weft-closure-regression.cHyRjn/k1-010-mul_mat_q4_0-prefill.log,/tmp/weft-mul-mat.dNfCyv,k1:/tmp/weft-mul-mat.0CaC69
mul_mat_iq2_xs,SG2044,decode,examples/kernels/mul_mat/iq2_xs.py,production_mul_mat_iq2_xs,"{""NR"":1}","{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,3.799817,GOP/s,4.283233,4.091731,0.928658,-11.286,/tmp/weft-closure-regression.cHyRjn/terminal-sg2044-000-mul_mat_iq2_xs-decode.log,/tmp/weft-mul-mat.wtVduD,rvv:/tmp/weft-mul-mat.7TXOuA
mul_mat_mxfp4,SG2044,decode,examples/kernels/mul_mat/mxfp4_decode.py,production_mul_mat_mxfp4_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,6.557055,GOP/s,6.522843,6.219665,1.054246,0.524,/tmp/weft-closure-regression.cHyRjn/sg2044-021-mul_mat_mxfp4-decode.log,/tmp/weft-mul-mat.QmBnMz,rvv:/tmp/weft-mul-mat.Pu847S
mul_mat_q3_k,SG2044,decode,examples/kernels/mul_mat/q3_k_decode.py,production_mul_mat_q3_k_decode,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":1,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,7.62939453e-05,3.14590394e-07,7.433727,GOP/s,7.603906,7.214206,1.030429,-2.238,/tmp/weft-closure-regression.cHyRjn/sg2044-022-mul_mat_q3_k-decode.log,/tmp/weft-mul-mat.aZuY3q,rvv:/tmp/weft-mul-mat.VVn30H
dequantize_row_q2_k,SG2044,tensor,examples/kernels/dequantize/q2_k.py,row_dequantize_q2_k,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,409.672233,MEl/s,661.124437,627.160324,0.653218,-38.034,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-009-dequantize_row_q2_k-tensor.log,/tmp/weft-row-dequantize.tIf4A1,rvv:/tmp/weft-row-dequantize.kvu7b4
q4_1_q8_1,K1/X60,decode,examples/kernels/vec_dot/q4_1_q8_1.py,quantized_vec_dot_q4_1_q8_1,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.239807,GOP/s,2.246569,2.108143,1.062455,-0.301,/tmp/weft-closure-regression.cHyRjn/k1-011-q4_1_q8_1-decode.log,/tmp/weft-quantized-vec-dot.cEe22B,k1:/tmp/weft-quantized-vec-dot.wTu4Pu
mul_mat_q5_1,K1/X60,prefill,examples/kernels/mul_mat/q5_1.py,production_mul_mat_q5_1,"{""MC"":16,""MR"":4,""NC"":32,""NR"":2}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.813592,GOP/s,1.836887,1.714436,1.057836,-1.268,/tmp/weft-closure-regression.cHyRjn/k1-012-mul_mat_q5_1-prefill.log,/tmp/weft-mul-mat.e2Q2sh,k1:/tmp/weft-mul-mat.Fi9NJG
mul_mat_q4_1,K1/X60,decode,examples/kernels/mul_mat/q4_1_decode.py,production_mul_mat_q4_1_decode,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.246945,GOP/s,2.242288,2.084146,1.078113,0.208,/tmp/weft-closure-regression.cHyRjn/k1-013-mul_mat_q4_1-decode.log,/tmp/weft-mul-mat.MeRS8R,k1:/tmp/weft-mul-mat.kU0nEO
dequantize_row_iq3_xxs,SG2044,tensor,examples/kernels/dequantize/iq3_xxs.py,row_dequantize_iq3_xxs,{},"{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,311.906823,MEl/s,475.693609,441.756230,0.706061,-34.431,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-010-dequantize_row_iq3_xxs-tensor.log,/tmp/weft-row-dequantize.XNj3Br,rvv:/tmp/weft-row-dequantize.myW1sV
mul_mat_iq1_m,K1/X60,prefill,examples/kernels/mul_mat/iq1_m.py,production_mul_mat_iq1_m,"{""MC"":16,""MR"":4,""NC"":32,""NR"":4}","{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.621238,GOP/s,1.562290,1.446879,1.120507,3.773,/tmp/weft-closure-regression.cHyRjn/optimized-k1-003-mul_mat_iq1_m-prefill.log,/tmp/weft-mul-mat.ylCvY5,k1:/tmp/weft-mul-mat.8DRVMj
mul_mat_q3_k,K1/X60,prefill,examples/kernels/mul_mat/q3_k.py,production_mul_mat_q3_k,"{""MC"":8,""MR"":1,""NC"":32,""NR"":1}","{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0.000366210938,1.52754824e-05,2.726732,GOP/s,2.643369,2.442635,1.116308,3.154,/tmp/weft-closure-regression.cHyRjn/k1-015-mul_mat_q3_k-prefill.log,/tmp/weft-mul-mat.zYnUcp,k1:/tmp/weft-mul-mat.pnzAhb
dequantize_row_tq2_0,SG2044,tensor,examples/kernels/dequantize/tq2_0.py,row_dequantize_tq2_0,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,734.246144,MEl/s,734.615226,673.603336,1.090027,-0.050,/tmp/weft-closure-regression.cHyRjn/sg2044-025-dequantize_row_tq2_0-tensor.log,/tmp/weft-row-dequantize.ph4rMg,rvv:/tmp/weft-row-dequantize.s9ZPLs
mul_mat_mxfp4,K1/X60,prefill,examples/kernels/mul_mat/mxfp4.py,production_mul_mat_mxfp4,"{""MC"":16,""MR"":2,""NC"":32,""NR"":4}","{""lmul_eighths"":8,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,2.923394,GOP/s,2.884714,2.629021,1.111971,1.341,/tmp/weft-closure-regression.cHyRjn/k1-016-mul_mat_mxfp4-prefill.log,/tmp/weft-mul-mat.dq7DCK,k1:/tmp/weft-mul-mat.eVMWTc
mul_mat_iq3_s,K1/X60,prefill,examples/kernels/mul_mat/iq3_s.py,production_mul_mat_iq3_s,{},"{""lmul_eighths"":16,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",valid-quantized-record-replicated,10,within-tolerance,0,0,1.919427,GOP/s,1.854974,1.674948,1.145962,3.475,/tmp/weft-closure-regression.cHyRjn/final-k1-000-mul_mat_iq3_s-prefill.log,/tmp/weft-mul-mat.Vo4lOI,k1:/tmp/weft-mul-mat.h3eQQD
dequantize_row_tq1_0,SG2044,tensor,examples/kernels/dequantize/tq1_0.py,row_dequantize_tq1_0,{},"{""lmul_eighths"":32,""partial_combine_policy"":""independent-multilevel"",""pipeline_depth"":1,""record_axis_policy"":""within-record"",""scalar_load_prime"":0,""unroll"":1}",finite-random-record-replicated,10,within-tolerance,0,0,404.040303,MEl/s,744.449030,668.582579,0.604324,-45.726,/tmp/weft-closure-regression.cHyRjn/optimized-sg2044-011-dequantize_row_tq1_0-tensor.log,/tmp/weft-row-dequantize.HeA5G6,rvv:/tmp/weft-row-dequantize.D81pb2
