# board	rowkey	vlen	ledger	opp_grade	opp_symbol	objdump_metric	hardgate	compiler_axis	note
rvv	forward|silu|map-strip|arity1|f32	128	forward-op	native-vec	ggml_vec_silu_f32	tot112/rvv38/mac7	in-denom	clang18-sym	sigmoid-expf-vectorized
rvv	forward|gelu|map-strip|arity1|f32	128	forward-op	scalar-f16-LUT	ggml_table_gelu_f16_BSS_LUT	NO-vec-table-lookup-STRUCTURAL	in-denom	clang18-sym	GGML_GELU_FP16-not-fair-speed-AB
rvv	forward|add|binary-map|arity2|f32	128	forward-op	native-vec	ggml_compute_forward_add	vfadd.vv-inline-autovec	in-denom	clang18-sym	IEEE-f32-bit-exact
rvv	forward|mul|binary-map|arity2|f32	128	forward-op	native-vec	ggml_compute_forward_mul	vfmul-binary-op-autovec	in-denom	clang18-sym	IEEE-f32-bit-exact
rvv	forward|scale|map-strip|arity1|f32	128	forward-op	native-vec-light	ggml_compute_forward_scale	tot154/rvv7/mac2	in-denom	clang18-sym	vfmul.vf-inplace
rvv	forward|cpy|copy-map|arity1|f32	128	forward-op	native-vec-streaming	ggml_compute_forward_dup_cpy	tot4339/rvv51/csrr12	in-denom	clang18-sym	vector-copy-memcpy-paths
rvv	dequant|q2_K|streaming|arity1|f32	128	DEQ-AXIS	native-vec	dequantize_row_q2_K	tot256/rvv88	test-only-not-in-denom	clang18-sym	deploy-footnote-gcc15-autovec
rvv	dequant|q3_K|streaming|arity1|f32	128	DEQ-AXIS	native-vec	dequantize_row_q3_K	tot365/rvv132/mac16	test-only-not-in-denom	clang18-sym	strong-autovec
rvv	dequant|q4_K|streaming|arity1|f32	128	DEQ-AXIS	scalar	dequantize_row_q4_K	tot467/rvv0-NOT-vectorized	test-only-not-in-denom	clang18-sym	clang18-scalar-vs-gcc15-autovec-footnote
rvv	dequant|q5_K|streaming|arity1|f32	128	DEQ-AXIS	native-vec-light	dequantize_row_q5_K	tot330/rvv26/csrr1	test-only-not-in-denom	clang18-sym	
rvv	dequant|q6_K|streaming|arity1|f32	128	DEQ-AXIS	native-vec-heavy	dequantize_row_q6_K	tot692/rvv432/mac64	test-only-not-in-denom	clang18-sym	big-unroll
rvv	dequant|iq1_s|streaming|arity1|f32	128	DEQ-AXIS	native-vec-light	dequantize_row_iq1_s	tot129/rvv24	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq1_m|streaming|arity1|f32	128	DEQ-AXIS	native-vec-light	dequantize_row_iq1_m	tot194/rvv24	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq2_xxs|streaming|arity1|f32	128	DEQ-AXIS	native-vec	dequantize_row_iq2_xxs	tot290/rvv74	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq2_xs|streaming|arity1|f32	128	DEQ-AXIS	light-vec	dequantize_row_iq2_xs	tot183/rvv10	test-only-not-in-denom	clang18-sym	near-scalar
rvv	dequant|iq2_s|streaming|arity1|f32	128	DEQ-AXIS	native-vec	dequantize_row_iq2_s	tot281/rvv74	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq3_xxs|streaming|arity1|f32	128	DEQ-AXIS	native-vec	dequantize_row_iq3_xxs	tot304/rvv74	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq3_s|streaming|arity1|f32	128	DEQ-AXIS	native-vec-heavy	dequantize_row_iq3_s	tot528/rvv146	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq4_nl|streaming|arity1|f32	128	DEQ-AXIS	light-vec-gather	dequantize_row_iq4_nl	tot131/rvv13/gather2	test-only-not-in-denom	clang18-sym	
rvv	dequant|iq4_xs|streaming|arity1|f32	128	DEQ-AXIS	light-vec-gather	dequantize_row_iq4_xs	tot179/rvv13/gather2	test-only-not-in-denom	clang18-sym	
rvv	dequant|mxfp4|streaming|arity1|f32	128	DEQ-AXIS	light-vec-gather	dequantize_row_mxfp4	tot124/rvv14/gather2	test-only-not-in-denom	clang18-sym	
rvv	dequant|nvfp4|streaming|arity1|f32	128	DEQ-AXIS	native-vec-light	dequantize_row_nvfp4	tot190/rvv24	test-only-not-in-denom	clang18-sym	nvfp4-dequant-EXISTS-unlike-vecdot
rvv	dequant|tq1_0|streaming|arity1|f32	128	DEQ-AXIS	native-vec-heavy	dequantize_row_tq1_0	tot734/rvv135/mac44	test-only-not-in-denom	clang18-sym	
rvv	dequant|tq2_0|streaming|arity1|f32	128	DEQ-AXIS	native-vec-light	dequantize_row_tq2_0	tot431/rvv23	test-only-not-in-denom	clang18-sym	
rvv	vec_dot|q1_0|typed-flat|arity2|micro-fixed	128	EXCLUDED-internal	native-vec-INTERNAL-A/B	ggml_vec_dot_q1_0_q8_0_vl128	tot111/rvv25/mac4-enum41-Weft-internal	excluded-internal-A/B-not-in-denom	clang18-sym	no-genuine-3rd-party-opp-our-format-only
